tconst	averageRating	numVotes
tt0688350	8.6	1454
tt5889712	7.7	73
tt0564807	8.6	51
tt4762812	9.0	20
tt4848210	7.5	16
tt1552950	5.6	8
tt3099888	8.7	486
tt1444569	4.0	7
tt10695480	9.6	53
tt2596158	7.3	7
tt0261243	7.4	1294
tt1431297	9.2	11
tt3283770	6.9	13
tt2815956	1.3	32
tt0238248	8.2	23
tt0325671	7.9	26
tt7472980	6.7	12
tt0719094	8.0	85
tt0185382	3.5	65
tt1109163	7.2	111
tt1367742	6.4	11
tt2621328	8.3	6
tt1142331	5.8	9
tt0413145	6.6	16
tt0796368	7.3	9182
tt0101238	6.7	229
tt0056412	7.5	11370
tt11193282	7.8	45
tt0567978	7.7	225
tt1740726	6.6	56
tt5235874	7.5	257
tt6886042	8.1	57
tt8495434	6.5	28
tt0560313	7.8	127
tt0821901	8.0	5
tt0456018	7.9	16
tt5630122	6.9	94
tt7559644	4.6	10
tt0262698	6.8	813
tt7177444	7.2	76
tt0979059	6.5	6
tt6060502	9.0	22
tt2516610	2.6	530
tt0320325	6.3	6
tt1634013	8.2	10783
tt8971480	8.9	8
tt1409832	5.8	8
tt6719692	7.0	5
tt0659301	9.1	34
tt10843608	5.8	11
tt1589862	5.9	17
tt0660210	8.0	94
tt1475145	7.3	6
tt10280220	6.8	212
tt3495000	7.3	9961
tt0372111	8.5	120
tt8452144	8.0	5
tt0177447	6.1	722
tt0735639	7.8	90
tt0956547	9.2	11
tt2145174	1.3	15
tt3672912	7.6	17
tt1183359	7.2	5
tt1419888	7.0	63
tt0956931	8.0	8
tt0134412	4.7	12
tt0144261	4.2	37
tt1303953	7.1	19
tt2174325	8.0	60
tt5630752	4.8	94
tt6459208	8.2	26
tt2952000	6.7	10
tt10594620	8.0	9
tt3448956	3.1	14
tt0094755	3.5	57
tt6740584	6.9	629
tt4799064	6.3	9754
tt0917925	8.0	8
tt0748869	7.6	237
tt0089355	6.4	186
tt1286505	6.6	19
tt0231891	6.3	49
tt1683255	7.7	459
tt8102794	7.6	5
tt1493808	8.3	10
tt4719204	5.6	5
tt0302706	5.6	5
tt0096465	5.1	672
tt0071232	4.8	195
tt0678699	7.7	10
tt0415014	1.5	76
tt6763042	7.6	13
tt1929678	8.6	514
tt4401336	9.8	38
tt2299842	7.2	12008
tt4267386	8.0	176
tt1683657	8.7	40
tt3515856	7.0	9
tt2083053	7.7	188
tt8061694	6.1	7
tt10065930	5.5	77
tt4829772	5.1	13
tt4902930	6.5	50
tt1208784	7.6	7
tt2452080	6.5	23
tt5180602	5.2	13
tt2263536	7.0	41
tt11064306	6.7	7
tt8633986	7.1	14
tt1096671	7.3	19
tt0043791	3.8	85
tt2045193	7.6	5
tt0313332	5.2	31
tt0561453	7.7	20
tt3307110	5.6	5
tt0367173	8.4	14
tt0194700	6.9	9
tt0578175	7.4	24
tt0304047	2.5	17
tt0236799	7.0	62
tt8475784	7.2	34
tt2783742	5.3	13
tt0478845	5.3	6
tt0162492	6.4	27
tt3105216	8.2	119
tt1157685	7.1	381
tt4547514	6.6	695
tt0278019	6.2	5
tt7184860	6.7	11
tt0062364	6.0	60
tt1264878	8.1	8
tt0113277	8.2	542364
tt0421209	4.5	27
tt3720648	7.5	12
tt0019611	7.1	769
tt2147187	7.1	11
tt0096384	3.8	29
tt5868790	6.8	5
tt5330872	7.0	25
tt0263328	6.0	238
tt4206066	7.4	40
tt1413255	2.2	6
tt3907302	5.7	7
tt0638133	7.2	5
tt8503558	7.3	9
tt3827214	7.0	8
tt0174591	6.4	7
tt3539346	8.8	8
tt0280290	7.6	64
tt1652172	8.4	31
tt0779880	8.6	5
tt0960759	6.4	12
tt1080567	9.4	7
tt2048889	7.0	68
tt0541938	8.3	6
tt1328676	5.8	9
tt7108744	6.7	7
tt0212166	4.7	6
tt1302183	5.6	23
tt0586059	6.8	6
tt0055680	8.0	96
tt5536972	7.1	18
tt0103107	6.8	11
tt3625386	7.0	344
tt0270111	8.0	7
tt0867951	7.3	16
tt7009744	7.4	8
tt2314962	8.6	79
tt10403460	9.0	19
tt0102213	4.6	345
tt6661438	8.2	21
tt2406642	6.1	121
tt2325327	8.1	31
tt0949269	4.6	9
tt0103722	7.8	11
tt2181255	6.3	6
tt0078795	6.4	23
tt4205646	7.5	292
tt8479972	7.0	5
tt7512514	7.8	13
tt0469776	8.5	12
tt0077964	7.5	621
tt1929828	7.0	6
tt1101510	7.1	16
tt4758762	10.0	5
tt1742145	6.9	12
tt5939140	7.6	445
tt0170553	6.5	51
tt8929312	7.5	14
tt0035589	6.7	30
tt7503766	7.3	7
tt0261267	5.4	9
tt0476379	8.6	17
tt0983877	5.2	31
tt10098624	7.5	6
tt0743856	8.2	62
tt4289454	7.6	7
tt1285821	7.1	15
tt1819038	7.4	21
tt0443796	6.1	8
tt2134080	7.2	118
tt0079935	7.8	397
tt0705135	7.8	5
tt0247761	5.1	15
tt2711304	7.8	13
tt8261998	8.0	6
tt3684492	7.6	46
tt0214647	8.2	42
tt9405490	5.8	15
tt0058575	5.0	48
tt0256908	7.8	524
tt1277721	8.7	7
tt10795410	7.0	9
tt4882482	8.7	33
tt0104733	7.3	11
tt8086474	7.5	292
tt0681147	8.2	234
tt0519372	8.0	25
tt1678635	7.0	242
tt8835826	8.5	19
tt1031229	5.9	10
tt0247962	6.1	19
tt0551772	7.0	26
tt0788340	8.5	14
tt2620290	7.6	253
tt8014492	7.6	7
tt10653264	6.8	16
tt8239666	8.1	8
tt0213804	7.3	15
tt0045360	5.5	18
tt2206014	7.5	58
tt3626340	6.9	8
tt5117152	3.2	6
tt2823948	6.0	7
tt3328944	6.3	17
tt0027936	5.6	50
tt1361844	7.8	180
tt1791003	5.6	80
tt0702723	6.4	136
tt3920628	7.9	26
tt1358976	6.6	21
tt1764009	9.0	8
tt0270864	8.7	13
tt4201986	4.0	5
tt7199764	5.9	7
tt1531056	5.0	7
tt0384051	5.9	7
tt0386691	8.4	19
tt0159528	5.4	7
tt2279748	7.0	24
tt0336681	9.0	40
tt4154370	6.7	12
tt0444465	5.4	18
tt2582520	6.7	10
tt6003532	8.0	40
tt1583265	4.2	237
tt1382565	6.1	7
tt1024983	7.7	7
tt2106594	5.9	16
tt4722984	10.0	6
tt3495348	4.7	11
tt0583602	7.9	3598
tt10020552	6.1	7
tt0058704	6.1	420
tt1297302	7.8	13
tt0056817	6.7	54
tt2980086	7.4	473
tt0174759	7.1	7
tt0582549	8.0	403
tt0023640	6.5	80
tt0032193	5.3	54
tt1495812	8.0	142
tt4235538	8.7	679
tt1447266	7.5	23
tt3384180	5.1	542
tt0743748	8.1	63
tt2667348	6.1	9
tt3898938	8.6	5
tt9867256	6.3	154
tt0839118	8.0	30
tt1475874	8.0	40
tt2142618	5.8	147
tt2023611	6.3	62
tt1773891	6.6	9
tt1606623	7.0	51
tt0085125	5.6	2614
tt1367103	6.2	9
tt0078912	5.4	57
tt1003902	7.7	7
tt0104112	4.9	49
tt6114454	5.2	5
tt1727250	5.1	83
tt2029821	7.6	10
tt7078618	7.3	19
